Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
a little princess,1995,"Drama, Family, Fantasy",7.7,a young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead,83.0,alfonsocuarón,lieselmatthews,eleanorbron,liamcunningham,a little princess drama family fantasy alfonsocuarón lieselmatthews eleanorbron liamcunningham a young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead
do lok tin si,1995,"Comedy, Crime, Drama",7.7,this hong kong-set crime drama follows the lives of a hitman hoping to get out of the business and his elusive female partner,71.0,kar-waiwong,leonlai,michellereis,takeshikaneshiro,do lok tin si comedy crime drama kar-waiwong leonlai michellereis takeshikaneshiro this hong kong-set crime drama follows the lives of a hitman hoping to get out of the business and his elusive female partner
il postino,1994,"Biography, Comedy, Drama",7.7,a simple italian postman learns to love poetry while delivering mail to a famous poet and then uses this to woo local beauty beatrice,81.0,michaelradford,massimotroisi,massimotroisi,philippenoiret,il postino biography comedy drama michaelradford massimotroisi massimotroisi philippenoiret a simple italian postman learns to love poetry while delivering mail to a famous poet and then uses this to woo local beauty beatrice
clerks,1994,Comedy,7.7,a day in the lives of two convenience clerks named dante and randal as they annoy customers discuss movies and play hockey on the store roof,70.0,kevinsmith,briano'halloran,jeffanderson,marilynghigliotti,clerks comedy kevinsmith briano'halloran jeffanderson marilynghigliotti a day in the lives of two convenience clerks named dante and randal as they annoy customers discuss movies and play hockey on the store roof
short cuts,1993,"Comedy, Drama",7.7,the day-to-day lives of several suburban los angeles residents,79.0,robertaltman,andiemacdowell,juliannemoore,timrobbins,short cuts comedy drama robertaltman andiemacdowell juliannemoore timrobbins the day-to-day lives of several suburban los angeles residents
philadelphia,1993,Drama,7.7,when a man with hiv is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit,66.0,jonathandemme,tomhanks,denzelwashington,robertamaxwell,philadelphia drama jonathandemme tomhanks denzelwashington robertamaxwell when a man with hiv is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit
the muppet christmas carol,1992,"Comedy, Drama, Family",7.7,the muppet characters tell their version of the classic tale of an old and bitter miser's redemption on christmas eve,64.0,brianhenson,michaelcaine,kermitthefrog,davegoelz,the muppet christmas carol comedy drama family brianhenson michaelcaine kermitthefrog davegoelz the muppet characters tell their version of the classic tale of an old and bitter miser's redemption on christmas eve
malcolm x,1992,"Biography, Drama, History",7.7,biographical epic of the controversial and influential black nationalist leader from his early life and career as a small-time gangster to his ministry as a member of the nation of islam,73.0,spikelee,denzelwashington,angelabassett,delroylindo,malcolm x biography drama history spikelee denzelwashington angelabassett delroylindo biographical epic of the controversial and influential black nationalist leader from his early life and career as a small-time gangster to his ministry as a member of the nation of islam
the last of the mohicans,1992,"Action, Adventure, Drama",7.7,three trappers protect the daughters of a british colonel in the midst of the french and indian war,76.0,michaelmann,danielday-lewis,madeleinestowe,russellmeans,the last of the mohicans action adventure drama michaelmann danielday-lewis madeleinestowe russellmeans three trappers protect the daughters of a british colonel in the midst of the french and indian war
kurenai no buta,1992,"Animation, Adventure, Comedy",7.7,in 1930s italy a veteran world war i pilot is cursed to look like an anthropomorphic pig,83.0,hayaomiyazaki,shûichirômoriyama,tokikokatô,bunshikatsuravi,kurenai no buta animation adventure comedy hayaomiyazaki shûichirômoriyama tokikokatô bunshikatsuravi in 1930s italy a veteran world war i pilot is cursed to look like an anthropomorphic pig
