Series_Title,Released_Year,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,soup
blood diamond,2006,"Adventure, Drama, Thriller",8.0,a fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond,64.0,edwardzwick,leonardodicaprio,djimonhounsou,jenniferconnelly,blood diamond adventure drama thriller edwardzwick leonardodicaprio djimonhounsou jenniferconnelly a fisherman a smuggler and a syndicate of businessmen match wits over the possession of a priceless diamond
the bourne ultimatum,2007,"Action, Mystery, Thriller",8.0,jason bourne dodges a ruthless cia official and his agents from a new assassination program while searching for the origins of his life as a trained killer,85.0,paulgreengrass,mattdamon,edgarramírez,joanallen,the bourne ultimatum action mystery thriller paulgreengrass mattdamon edgarramírez joanallen jason bourne dodges a ruthless cia official and his agents from a new assassination program while searching for the origins of his life as a trained killer
bin-jip,2004,"Crime, Drama, Romance",8.0,a transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days,72.0,ki-dukkim,seung-yunlee,heejae,hyuk-hokwon,bin-jip crime drama romance ki-dukkim seung-yunlee heejae hyuk-hokwon a transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days
sin city,2005,"Crime, Thriller",8.0,a movie that explores the dark and miserable town basin city tells the story of three different people all caught up in violent corruption,74.0,frankmiller,quentintarantino,robertrodriguez,mickeyrourke,sin city crime thriller frankmiller quentintarantino robertrodriguez mickeyrourke a movie that explores the dark and miserable town basin city tells the story of three different people all caught up in violent corruption
le scaphandre et le papillon,2007,"Biography, Drama",8.0,the true story of elle editor jean-dominique bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed,92.0,julianschnabel,lauraobiols,mathieuamalric,emmanuelleseigner,le scaphandre et le papillon biography drama julianschnabel lauraobiols mathieuamalric emmanuelleseigner the true story of elle editor jean-dominique bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed
g.o.r.a.,2004,"Adventure, Comedy, Sci-Fi",8.0,a slick young turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of gora,78.0,ömerfaruksorak,cemyilmaz,özgeözberk,ozangüven,gora adventure comedy sci-fi ömerfaruksorak cemyilmaz özgeözberk ozangüven a slick young turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of gora
ratatouille,2007,"Animation, Adventure, Comedy",8.0,a rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant,96.0,bradbird,janpinkava,bradgarrett,louromano,ratatouille animation adventure comedy bradbird janpinkava bradgarrett louromano a rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant
casino royale,2006,"Action, Adventure, Thriller",8.0,after earning 00 status and a licence to kill secret agent james bond sets out on his first mission as 007 bond must defeat a private banker funding terrorists in a high-stakes game of poker at casino royale montenegro,80.0,martincampbell,danielcraig,evagreen,judidench,casino royale action adventure thriller martincampbell danielcraig evagreen judidench after earning 00 status and a licence to kill secret agent james bond sets out on his first mission as 007 bond must defeat a private banker funding terrorists in a high-stakes game of poker at casino royale montenegro
kill bill: vol. 2,2004,"Action, Crime, Thriller",8.0,the bride continues her quest of vengeance against her former boss and lover bill the reclusive bouncer budd and the treacherous one-eyed elle,83.0,quentintarantino,umathurman,davidcarradine,michaelmadsen,kill bill: vol 2 action crime thriller quentintarantino umathurman davidcarradine michaelmadsen the bride continues her quest of vengeance against her former boss and lover bill the reclusive bouncer budd and the treacherous one-eyed elle
vozvrashchenie,2003,Drama,8.0,in the russian wilderness two brothers face a range of new conflicting emotions when their father - a man they know only through a single photograph - resurfaces,82.0,andreyzvyagintsev,vladimirgarin,ivandobronravov,konstantinlavronenko,vozvrashchenie drama andreyzvyagintsev vladimirgarin ivandobronravov konstantinlavronenko in the russian wilderness two brothers face a range of new conflicting emotions when their father - a man they know only through a single photograph - resurfaces
bom yeoareum gaeul gyeoul geurigo bom,2003,"Drama, Romance",8.0,a boy is raised by a buddhist monk in an isolated floating temple where the years pass like the seasons,85.0,ki-dukkim,ki-dukkim,yeong-suoh,jong-hokim,bom yeoareum gaeul gyeoul geurigo bom drama romance ki-dukkim ki-dukkim yeong-suoh jong-hokim a boy is raised by a buddhist monk in an isolated floating temple where the years pass like the seasons
mar adentro,2014,"Biography, Drama",8.0,the factual story of spaniard ramon sampedro who fought a thirty-year campaign in favor of euthanasia and his own right to die,74.0,alejandroamenábar,javierbardem,belénrueda,loladueñas,mar adentro biography drama alejandroamenábar javierbardem belénrueda loladueñas the factual story of spaniard ramon sampedro who fought a thirty-year campaign in favor of euthanasia and his own right to die
cinderella man,2005,"Biography, Drama, History",8.0,the story of james j braddock a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s,69.0,ronhoward,russellcrowe,renéezellweger,craigbierko,cinderella man biography drama history ronhoward russellcrowe renéezellweger craigbierko the story of james j braddock a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s
kal ho naa ho,2003,"Comedy, Drama, Musical",8.0,naina an introverted perpetually depressed girl's life changes when she meets aman but aman has a secret of his own which changes their lives forever embroiled in all this is rohit naina's best friend who conceals his love for her,54.0,nikkhiladvani,preityzinta,shahrukhkhan,saifalikhan,kal ho naa ho comedy drama musical nikkhiladvani preityzinta shahrukhkhan saifalikhan naina an introverted perpetually depressed girl's life changes when she meets aman but aman has a secret of his own which changes their lives forever embroiled in all this is rohit naina's best friend who conceals his love for her
mou gaan dou,2002,"Action, Crime, Drama",8.0,a story between a mole in the police department and an undercover cop their objectives are the same: to find out who is the mole and who is the cop,75.0,andrewlau,alanmak,andylau,tonychiu-waileung,mou gaan dou action crime drama andrewlau alanmak andylau tonychiu-waileung a story between a mole in the police department and an undercover cop their objectives are the same: to find out who is the mole and who is the cop
pirates of the caribbean: the curse of the black pearl,2003,"Action, Adventure, Fantasy",8.0,"blacksmith will turner teams up with eccentric pirate ""captain"" jack sparrow to save his love the governor's daughter from jack's former pirate allies who are now undead",63.0,goreverbinski,johnnydepp,geoffreyrush,orlandobloom,"pirates of the caribbean: the curse of the black pearl action adventure fantasy goreverbinski johnnydepp geoffreyrush orlandobloom blacksmith will turner teams up with eccentric pirate ""captain"" jack sparrow to save his love the governor's daughter from jack's former pirate allies who are now undead"
big fish,2003,"Adventure, Drama, Fantasy",8.0,a frustrated son tries to determine the fact from fiction in his dying father's life,58.0,timburton,ewanmcgregor,albertfinney,billycrudup,big fish adventure drama fantasy timburton ewanmcgregor albertfinney billycrudup a frustrated son tries to determine the fact from fiction in his dying father's life
the incredibles,2004,"Animation, Action, Adventure",8.0,a family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world,90.0,bradbird,craigtnelson,samuelljackson,hollyhunter,the incredibles animation action adventure bradbird craigtnelson samuelljackson hollyhunter a family of undercover superheroes while trying to live the quiet suburban life are forced into action to save the world
yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance",8.0,a young man sees a drunk cute woman standing too close to the tracks at a metro station in seoul and pulls her back she ends up getting him into trouble repeatedly after that starting on the train,78.0,jae-youngkwak,tae-hyuncha,junji-hyun,in-munkim,yeopgijeogin geunyeo comedy drama romance jae-youngkwak tae-hyuncha junji-hyun in-munkim a young man sees a drunk cute woman standing too close to the tracks at a metro station in seoul and pulls her back she ends up getting him into trouble repeatedly after that starting on the train
